Date(s),Company,Positions/Jobs,Time,Location,Notes/Contact
28 Jul – 2 Aug 2025 (Mon–Fri),Clean Way FM,"Security guard, driver, cleaner",10:00 AM – 4:00 PM,"Marrakech St., Lootah Bldg., Office 10, Dubai",Visit or cancelled visa required
14 Jul – 15 Aug 2025 (Mon–Fri),Eurogulf Mobility Group (EGMG),Bus drivers,8:00 AM – 12:00 PM,"EGMG HQ, Al Quoz 3, Dubai",WhatsApp +971 52 609 3366
2 Aug 2025,Affordable Group,"MEP team leader, AC tech, plumber, carpenter, mason",9:00 AM – 2:00 PM,"Office 121, KML Bldg., Al Quoz 1, Dubai",Bring CV & certificates
2 Aug 2025,Freesia Electromechanical (Azizi),"Project managers, engineers, supervisors, foremen",9:00 AM – 2:00 PM,"Meydan Site Office, Dubai",Bring CV & credentials
2 Aug 2025,PACT Employment Group,"Steel fixers, masons, carpenters, plumbers, electricians, welders, riggers, scaffolders, painters, grinders",10:00 AM – 2:00 PM,"Office 5, Reem Bldg., Al Karama, Dubai",Contact +971 50 637 4984
2 Aug 2025,APEX Facility Management,"Cleaners, supervisors, maintenance & technical roles",10:00 AM – 4:00 PM,"14th Floor, Al Wahda Commercial Tower, Al Nahyan, Abu Dhabi","Bring CV, experience 2+ years"
2 Aug 2025,Al Nasr Contracting,Mechanical/civil/E&I job performers & discipline engineers,9:30 AM – 3:30 PM,"Musaffah 35, Abu Dhabi",Bring CV & certificates
2 Aug 2025,GESCO,"Multiple construction & FM roles (electrician, plumber, AC tech etc)",8:00 AM – 5:00 PM,"GCC Site Office, Mudon, Hessa St., Dubai","Contact Rahat Ali, bring CV & documents"
2 Aug 2025,Life Pharmacy,Delivery riders,9:00 AM – 2:00 PM,"Central Warehouse, DIP 1, Expo Rd, Dubai",Bring bike licence & documents
2 Aug 2025,EIFM (Emirates International Facility Management),"Technicians, plumbers, electricians, masons, carpenters",9:00 AM – 2:00 PM,"TASAMEEMI Workers City, Musaffah ICAD I, Abu Dhabi",Bring CV & trade certificates
2 Aug 2025,Desert Group,"Heavy equipment operators, truck/bus drivers",10:00 AM – 12:00 PM,"Desert Group Workshop, Al Quoz Industrial Area 2, Dubai",Bring CV & driving licence
2 Aug 2025,Al Masaood Power Division,"Service engineers, diesel mechanics, generator technicians",9:00 AM – 3:00 PM,"MTU Training Center, ICAD II, Abu Dhabi",Preference to GCC experience
3 Aug 2025,GISCO,"Fire fighting supervisor & technicians, finishing carpenter, plumber, civil foreman",9:00 AM – 2:00 PM,"GISCO Office, Musaffah 36, Abu Dhabi",Contact 056 526 5775; bring CV
3 Aug 2025,Emirates Electrical Engineering,Electrical & mechanical roles,9:00 AM – 3:00 PM,"4th Street, Al Quoz Industrial Area #3, Dubai",Bring CV & certificates
3 Aug 2025,Galadari Motors,"Auto mechanics, painters",8:00 AM onwards,"Galadari Bodyshop, 22 3B St., behind Khaleej Times, Al Quoz 1, Dubai",Bring CV & trade certificates
3 Aug 2025,Al Rostamani Group,"MEP draftsman, plumber, HVAC technician, supervisor, engineer",9:00 AM – 3:00 PM,"Emirates Electrical Engineering LLC HQ, Dubai",Register online & bring CV
1 Aug 2025,Farnek Services,Pool lifeguards,9:00 AM – 11:00 AM,"Farnek Village, 80 St., Jebel Ali Industrial First, Dubai",Bring lifeguard license
1 Aug 2025,Dussmann Gulf,"Office boy, cleaning supervisor",9:30 AM – 12:30 PM,"Al Khazna Tower, Najda St., Abu Dhabi","Bring CV, passport copy"
1 Aug 2025,Target Steel Industries,"Pipe fitters, grinders, fabricators, riggers",9:00 AM – 2:00 PM,"ICAD 3, Abu Dhabi",Bring CV & certificates
1 Aug 2025,Al Tadawi Healthcare,Homecare nurses,12:00 PM – 3:00 PM,"Tadawi Hospital, Dubai",DHA licence/eligibility required
5 Aug 2025,XBeauty,"Store manager, beauty advisors, makeup artists, hair & nail technicians",12:00 PM – 5:00 PM,"XBeauty Store, Al Forsan Central Mall, Abu Dhabi",Bring CV & beauty certifications
5 Aug 2025,Deem Finance,Relationship officers – corporate deposits,10:00 AM – 4:00 PM,"Deem Finance, Dubai Outsource City, Building 5, 2nd Floor, Dubai",2+ yrs sales experience; driving licence & car
2 Aug & 9 Aug 2025,Al Masaood Power Division,"Service engineers, diesel mechanics, generator technicians",9:00 AM – 3:00 PM,"MTU Training Center, ICAD II, Abu Dhabi",Also on 16 Aug (not within 10?day window)
9 Aug 2025,Premium Center Group,"Admin assistant, marketing manager, operations support",10:00 AM – 5:00 PM,"Premium Center One, Deira Mall – Gold Souk, Dubai",Bring CV & passport copy
9 Aug 2025,Alrais Holding,Various roles (hospitality & admin),9:00 AM – 2:00 PM,"Villa 600, Al Wasl Road, Jumeirah, Dubai",Bring CV & documents
9 Aug 2025,Aster Pharmacy,Pharmacists & sales associates,Time shared with shortlisted candidates,Location shared after registration,Register via Aster careers page
